,Questions,Correct,A,B,C,D,Category
528,"Dendrites is one of the epithets used for god Dionysus.
",True,False,True,,,humanities
529,"God Dionysus is viewed as the promoter of civilization, a lawgiver, and lover of peace.
",True,True,False,,,humanities
530,"Which word refers to the eating of raw flesh, a common practice in Dionysian worship?
",omophagia,ekstasis,sparagmos,enthousiasmos,omophagia,humanities
531,"These mythological half-man and half-goat creatures, which roamed the woods and mountains, were companions of Dionysus.
",satyrs,satyrs,centaurs,bacchaents,silenis,humanities
532,"Worshippers of god Dionysus often wore what type of attire over their shoulders?
",fawn skin,goat-skin,lions head,fawn skin,sheep-skin,humanities
533,"Anthesteria, a festival in honour of Dionysus, celebrated the maturing of the wine stored at the previous vintage, and the beginning of spring.
",True,False,True,,,humanities
534,"Which one of these goddesses is NOT similar to Aphrodite in some way?
",Saraswati,Saraswati,Turan,Inanna,Ishtar,humanities
535,"Was the lime tree goddess Aphrodites sacred tree?
",Yes,No,Yes,,,humanities
536,"Which one of these animals was NOT sacred for Aphrodite?
",Peacock,Dolphin,Swan,Sparrow,Peacock,humanities
537,"Which one of these names is not one of goddess Aphrodites surnames?
",Telaia,Dionaea,Anandymene,Acraea,Telaia,humanities
538,"According to Greek mythology, who was Adonia?
",The name of a festival to celebrate Adonis and Aphrodite,Adonis and Aphrodites daughter,Aphrodites servant,The name of a festival to celebrate Adonis and Aphrodite,Adonis and Aphrodites son,humanities
539,"Born in Barrow, Suffolk she studied to become one of the most important portrait painters in the 17th century.
",Mary Beale,Antoinette Bouzonnet-Stella,Mary Beale,Lucrina Fetti,Artemesia Gentileschi,humanities
540,"In her twenties, this Dutch painter became the only female member of the Haarlem painters guild and quickly adopted students of her own.
",Judith Leyster,Anne Killigrew,Judith Leyster,Giovanna Garzoni,Maria Sibylla Merian,humanities
541,"She is the only Flemish woman to have specialized in still-life painting as early as the beginning of the 17th century.
",Clara Peeters,Teresa Del Po,Maria Sibylla Merian,Louise Moillon,Clara Peeters,humanities
542,"She was arguably the most educated and most famous woman of the 17th century. She spoke Latin, modern European languages, Greek, Hebrew, Arabic, Syriac, Aramaic, and Ethiopian.  She also excelled in art, music and literature.
",Anna Maria van Schurman,Luisa Ignacia Roldan,Rachel Ruysch,Anna Maria van Schurman,Teresa Del Po,humanities
543,"This Swiss Neoclassicist painter was chosen to paint the portrait of Monsignor Nevroni, bishop of Como, before she turned 12.  Later, she became a distinguished portrait painter.
",Angelica Kauffmann,Elizabeth Blackwell,Angelica Kauffmann,Ann Bateman,Hester Bateman,humanities
544,"Born in London, she became the most important woman in the silver trade.  She and her husband made their reputation with silver in the popular French rococo style.
",Louisa Courtauld,Louisa Courtauld,Amelia Farnborough,Mary Ann Croswell,Marie Nicole Dumont,humanities
545,"This woman is referred to as the the most outstanding woman goldsmith of her generation . But this was not by chance - she was the daughter of the famous English silversmith Simon Pantin.
",Elizabeth Godfrey,Angelica Kauffman,Elizabeth Godfrey,Rebecca Emes,Anne Seymour Damer,humanities
546,"She was the predecessor of Madame Tussaud. She modelled wax figures of famous people.
",Patience Wright,Luisa Roldan,Frances Scott,Patience Wright,Caroline Watson,humanities
547,"Although she was very young in 1876,  she had great success painting the portrait of Sarah Bernhardt.
",Louise Abbema,Charlotte Bonaparte,Maria Bashkirtseff,Louise Abbema,Anna Bilinska,humanities
548,"The themes of this artist are feminist and political, depicting literary-historical figure groups and decorative female heads.
",Marie Spartali Stillman,Marie Spartali Stillman,Suzanne Valadon,Annie Swynnerton,Lilly Martin Spencer,humanities
549,"In Greek mythology the Cyclopes were the so called Olympians masons. They built the marvellous palace of the gods at the top of the highest mountain in Greece - Mount Olympus.
",True,False,True,,,humanities
550,"Why did Phaethon take Apollos chariot and ride off across the sky?
","He was taunted about his origin by Epaphus, a son of Zeus.",He wanted to take the place of his father Helios.,His mother Clymene drove him to take his fathers chariot.,He wanted to impress the Greek goddess Aphrodite because he was in love with her.,"He was taunted about his origin by Epaphus, a son of Zeus.",humanities
551,"What was the name of the mythological statue in which Pygmalion fell in love and eventually the statue became a woman?
",Galatea,Lachesis,Galatea,Echo,Leda,humanities
552,"What was the name of the Lithuanian god of the sky, earth, sea and all living creatures who decided to punish mankind and sent to the Earth the Spirit of water and the Spirit of wind?
",Praamzius,Praamzius,Jurate,Patrimpas,Perkunas,humanities
553,"What was the name of the Lithuanian god that can be compared to the Creek god of underworld, Hades?
",Pikulas,Saule,Pikulas,Menulis,Zemepatis,humanities
554,"According to Greek myths, this was the first robot which was made by Hephaestus to protect Crete.
",Talos,Rhadamanthys,Talos,Sarpedon,Minos,humanities
555,"In Finnish myths the Sampo was a magic artifact made by the blacksmith IImarinen for the sorceress Louhi of Pohjola. What kind of object was this artifact?
",a mill,a medallion,a mill,a sword,a ring,humanities
556,"According to Scandinavian mythology, the chaos will defeat the guardians of good and this catastrophe will bring the world to an end. What is the name of this final battle between evil and good, in which the gods will be outnumbered?
",Ragnarok,Heimdall,Ragnarok,Einherjar,Asgard,humanities
557,"This is the goddess of eternal youth, the guardian of the golden apples of youth in the Scandinavian mythology.
",Idun,Volla,Idun,Freya,Bragi,humanities
558,"According to a Polish legend, which city in Poland was named after a hero who defeated a fearful dragon?
",Cracow,Warsaw,Pornan,Torun,Cracow,humanities
559,"What state in the U.S. is commonly believed to have Spanish as an official language?
",New Mexico,New Mexico,Oregon,Nevada,Hawaii,humanities
560,"In what country in Africa is Spanish the official language?
",Equatorial Guinea,Libya,Angola,Nigeria,Equatorial Guinea,humanities
561,"What language is regarded as the biggest contributor to the Spanish language after English and Latin?
",Arabic,Persian,Turkish,Arabic,Hungarian,humanities
562,"Besides Espanol, Spanish language is also called Castellano.
",True,True,False,,,humanities
563,"This language, spoken by the Sephardic Jews, is a combination of Hebrew and Spanish.
",Ladino,Galician,Ladino,Basque,Catalan,humanities
564,"Spanish is one of the six official languages of the U.N.
",True,False,True,,,humanities
565,"What is the name of the institution responsible for regulating the Spanish language?
",Royal Spanish Academy,Department of Spanish,Royal Spanish Academy,Castillian association,Ministry of Spanish,humanities
566,"What did the Royal Spanish Academy rule in 1994?
",The consonants CH and LL would not be considered separate letters.,English words would not be accepted into the Spanish language.,The consonants CH and LL would not be considered separate letters.,Spanish should be the official language of Spain.,The term Castilian would not be used.,humanities
567,"The official languages of Haiti are Spanish and French.
",False,False,True,,,humanities
568,"In how many countries is Spanish the official language?
",21,21,15,32,12,humanities
569,"In the movie Rent which 4 of the 8 main characters have AIDS?
","Roger, Mimi, Collins, Angel","Roger, Maureen, Mark, Collins","Angel, Roger, Bennie, Maureen","Joanne, Mark, Bennie, Maureen","Roger, Mimi, Collins, Angel",humanities
570,"What drug is Rent character Mimi addicted to?
",Heroin,Marijuana,Meth,Heroin,Cocaine,humanities
571,"What is the name of this song, featured in the movie Rent: Compassion, to fashion, to passion when its new.  To Sontag.  To Sondheim. To anything taboo. Ginsberg, Dylan, Cunningham and Cage. Lenny Bruce. Langston Hughes. To the stage. To Uta. To Buddha. Pablo Neruda, too. Why Dorothy and Toto went over the rainbow To blow off Auntie Em...?
",La Vie Boheme,Over The Rainbow,Auntie Em,La Vie Boheme,Famous People,humanities
572,"What is the name of the song that Maureen and Joanne sing to each other at their commitment ceremony in the film Rent?
",Take Me or Leave Me,Like It or Not,Take Me or Leave Me,Walk Away,Lesbian Love,humanities
573,"In the movie Rent, what is Marks relation to Maureen?
",They used to date.,They used to date.,They are cousins.,They are siblings.,They used to be married.,humanities
574,"What actor gained 55 pounds and learned how to box to bring the real-life story of boxer Jake La Motta to the screen?
",Robert De Niro,Robert De Niro,James Dean,Paul Newman,Marlon Brando,humanities
575,"In order to play insomniac Trevor Reznik in The Machinist, this actor lost 60 pounds in just a few months. Later he went from 130 pounds to 230 pounds in six months to play Bruce Wayne.
",Christian Bale,Christian Bale,Jake Gyllenhaal,Toby Mcquire,Matt Damon,humanities
576,"This actress gave you goose pimples when her character, Annie Wilkes, told writer Paul Sheldon, Im your number one fan. There is nothing to worry about. You are going to be just fine. Im your number one fan.
",Kathy Bates,Glen Close,Sharon Stone,Kathy Bates,Charlize Theron,humanities
577,"Paul Newman has starred in Cat on a Hot Tin Roof, Butch Cassidy and the Sundance Kid, Cool Hand Luke and The Sting. In what movie did Newmans character praise Fat Man, you shoot a great game of pool.?
",The Hustler,The Hustler,Slap Shot,The Color of Money,Hud,humanities
578,"What is grammaticalization?
",The conversion of a substantive word into an auxiliary word,The conversion of a pidgin language into a creole language,The gradual addition of grammar rules to a language,The process of learning the grammar of a language,The conversion of a substantive word into an auxiliary word,humanities
579,"Approximately how many spoken languages are there in the world today?
",6000,150,6000,10000,300,humanities
580,"What does the linguistics term creole mean?
","A language which is adopted from a pidgin language, but is more complex, with its own grammatical rules.",A dialect of French,"A language which is adopted from a pidgin language, but is more complex, with its own grammatical rules.",A person who speaks a pidgin,A person descended from slaves who lives in Louisiana,humanities
